feature.sig/Gene	feature.sig/Protein	feature.sig	pvalue.sig	fdr.sig	n.sig	coef.sig	mean0.sig	mean1.sig	mean0.sig.w	mean1.sig.w	class
GAPDH	GAPDH	GAPDH_sym2pro_GAPDH.M.C	0.005165209	0.01604343	88	-0.310473501	0.143095793	-0.142219081	0.207069836	-0.103403665	KIRP
GSK3A..GSK3B	GSK3.alpha.beta	GSK3A..GSK3B_sym2pro_GSK3.alpha.beta.M.V	0.00016122	0.001203777	88	-0.16719251	0.049958816	-0.140468202	0.022409675	-0.144782835	KIRP
ERBB3	HER3	ERBB3_sym2pro_HER3.R.V	0.000775255	0.004134691	88	0.311110051	-0.023021558	0.162108699	-0.137119688	0.173990363	KIRP
NRG1	Heregulin	NRG1_sym2pro_Heregulin.R.V	0.001074567	0.00481406	88	0.162577171	-0.01131636	0.144798424	-0.018975213	0.143601958	KIRP
INPP4B	INPP4B	INPP4B_sym2pro_INPP4B.R.V	1.08E-06	2.69E-05	88	0.210302374	0.005981475	0.210926871	0.00686906	0.217171434	KIRP
IRF1	IRF.1	IRF1_sym2pro_IRF.1.R.C	0.012227989	0.033000837	88	-0.077000225	-0.014017259	-0.072504366	-0.003561008	-0.080561233	KIRP
COPS5	JAB1	COPS5_sym2pro_JAB1.M.C	1.27E-06	2.85E-05	88	0.320305988	0.021498125	0.292321006	0.014150407	0.334456395	KIRP
MAPK9	JNK2	MAPK9_sym2pro_JNK2.R.C	0.000257071	0.001759419	88	0.156216242	-0.100186539	0.020862228	-0.142013226	0.014203016	KIRP
JAK2	Jak2	JAK2_sym2pro_Jak2.R.V	1.34E-07	9.91E-06	88	-0.157193061	0.008214807	-0.149216049	-0.004077023	-0.161270084	KIRP
LCK	Lck	LCK_sym2pro_Lck.R.V	0.000102635	0.000938731	88	-0.208544697	0.020978453	-0.038006694	0.12238859	-0.086156106	KIRP
MAP2K1	MEK1	MAP2K1_sym2pro_MEK1.R.V	1.49E-05	0.000196576	88	0.33024645	-0.155655014	0.260762355	-0.103888179	0.226358271	KIRP
ERRFI1	MIG.6	ERRFI1_sym2pro_MIG.6.M.V	0.002431249	0.00864444	88	0.076009329	-0.007814609	0.024263433	-0.035962937	0.040046392	KIRP
MSH2	MSH2	MSH2_sym2pro_MSH2.M.V	0.001476499	0.005905997	88	0.145336425	-0.053960945	0.021621979	-0.115904341	0.029432083	KIRP
MYH9	Myosin.IIa	MYH9_sym2pro_Myosin.IIa_pS1943.R.V	0.018963063	0.048269614	88	-0.127541205	-0.038240231	-0.122110888	-0.014897474	-0.142438679	KIRP
NRAS	N.Ras	NRAS_sym2pro_N.Ras.M.V	0.000360248	0.002241541	88	0.139027877	0.058441867	0.19050122	0.067651082	0.206678959	KIRP
NOTCH1	Notch1	NOTCH1_sym2pro_Notch1.R.V	0.000337378	0.002159219	88	0.12771411	-0.011349364	0.150239045	0.007213082	0.134927192	KIRP
CDH3	P.Cadherin	CDH3_sym2pro_P.Cadherin.R.C	0.001212722	0.005224033	88	0.150122365	0.025874652	0.180808152	0.041446378	0.191568743	KIRP
PARP1	PARP1	PARP1_sym2pro_PARP1.R.V	0.000702689	0.003935059	88	-0.351743928	0.054608995	-0.272116674	0.049747743	-0.301996185	KIRP
PARP1	PARP	PARP1_sym2pro_PARP_cleaved.M.E	1.71E-05	0.000212927	88	0.206098614	0.078827414	0.256203818	0.074767013	0.280865626	KIRP
PDCD4	PDCD4	PDCD4_sym2pro_PDCD4.R.C	0.000136558	0.001092467	88	-0.300272479	0.076095259	-0.182512442	0.069953212	-0.230319267	KIRP
PEA15	PEA15	PEA15_sym2pro_PEA15.R.V	1.09E-10	2.45E-08	88	-0.289826637	0.044895644	-0.163977987	0.079585216	-0.210241421	KIRP
PEA15	PEA15	PEA15_sym2pro_PEA15_pS116.R.V	0.01612825	0.041525609	88	-0.278453708	0.137550977	-0.00752778	0.195667851	-0.082785857	KIRP
PRKCA	PKC.alpha	PRKCA_sym2pro_PKC.alpha.M.V	0.007250809	0.021370805	88	0.144042825	-0.043919527	-0.011931455	-0.144962912	-0.000920087	KIRP
PRKCD	PKC.delta	PRKCD_sym2pro_PKC.delta_pS664.R.V	0.001752853	0.006888403	88	0.096151487	0.011876802	0.061496893	-0.023258246	0.072893241	KIRP
PGR	PR	PGR_sym2pro_PR.R.V	0.000134161	0.001092467	88	0.094660142	0.047792555	0.1423403	0.059370482	0.154030624	KIRP
RAD50	Rad50	RAD50_sym2pro_Rad50.M.V	0.004014549	0.013224397	88	-0.11295626	0.009674922	-0.093653326	0.029053867	-0.083902393	KIRP
RPTOR	Raptor	RPTOR_sym2pro_Raptor.R.V	0.005228439	0.01604343	88	-0.16308994	0.02308836	-0.16868082	-0.029858302	-0.192948241	KIRP
SCD	SCD	SCD_sym2pro_SCD.M.V	4.07E-06	7.02E-05	88	0.184144623	0.062669989	0.218117842	0.057611544	0.241756167	KIRP
SRSF1	SF2	SRSF1_sym2pro_SF2.M.V	5.79E-05	0.000564382	88	0.10198895	0.014616322	0.113437472	0.020147679	0.122136629	KIRP
PTPN11	SHP.2	PTPN11_sym2pro_SHP.2_pY542.R.C	0.001401516	0.005813695	88	0.125240663	-0.01455517	0.09984966	-0.01350616	0.111734502	KIRP
SHC1	Shc	SHC1_sym2pro_Shc_pY317.R.E	0.001449658	0.005904061	88	0.142368687	-0.035445976	0.118465664	-0.02941638	0.112952307	KIRP
SMAD3	Smad3	SMAD3_sym2pro_Smad3.R.V	0.000104769	0.000938731	88	-0.094989498	0.016769995	-0.064408303	0.028552331	-0.066437167	KIRP
SMAD4	Smad4	SMAD4_sym2pro_Smad4.M.V	1.79E-07	9.91E-06	88	0.190004225	0.043366443	0.186523086	0.021706097	0.211710322	KIRP
SNAI1	Snail	SNAI1_sym2pro_Snail.M.E	0.000117356	0.001011071	88	0.16555399	0.062193747	0.209679598	0.062086649	0.227640639	KIRP
SRC	Src	SRC_sym2pro_Src.M.V	0.011085031	0.030345235	88	-0.082680325	0.035246842	-0.036045421	0.056010341	-0.026669985	KIRP
SYK	Syk	SYK_sym2pro_Syk.M.V	0.003128783	0.010460408	88	-0.294444078	0.097116571	-0.081798327	0.162318796	-0.132125282	KIRP
TFRC	TFRC	TFRC_sym2pro_TFRC.R.V	0.0002592	0.001759419	88	-0.316676131	0.045277969	-0.179647841	0.148235451	-0.16844068	KIRP
C12ORF5	TIGAR	C12ORF5_sym2pro_TIGAR.R.V	0.002538564	0.008884974	88	-0.114306577	-0.003471502	-0.045699908	0.049863201	-0.064443376	KIRP
TGM2	Transglutaminase	TGM2_sym2pro_Transglutaminase.M.V	0.001989383	0.007427029	88	-0.306548143	0.259499729	-0.065423702	0.266457545	-0.040090599	KIRP
TSC2	Tuberin	TSC2_sym2pro_Tuberin.R.E	0.000978801	0.004664922	88	0.241191969	-0.19560462	-0.012257899	-0.285997673	-0.044805704	KIRP
KDR	VEGFR2	KDR_sym2pro_VEGFR2.R.V	0.000523031	0.003125256	88	-0.212739806	0.071839035	-0.192210552	-0.031434379	-0.244174186	KIRP
XBP1	XBP1	XBP1_sym2pro_XBP1.G.C	0.002023098	0.007429081	88	0.140244405	0.064454434	0.212904339	0.079595048	0.219839453	KIRP
XRCC1	XRCC1	XRCC1_sym2pro_XRCC1.R.E	0.008592837	0.0243645	88	0.050836202	0.035808933	0.055395171	0.023112372	0.073948575	KIRP
YAP1	YAP	YAP1_sym2pro_YAP_pS127.R.E	0.000807674	0.004207419	88	-0.265615962	0.087824279	-0.224685154	0.043667251	-0.221948711	KIRP
ABL	c.Abl	ABL_sym2pro_c.Abl.R.V	3.55E-05	0.000378684	88	-0.134438346	0.018561989	-0.111696091	0.014464345	-0.119974	KIRP
MYC	c.Myc	MYC_sym2pro_c.Myc.R.C	2.92E-05	0.000326829	88	0.203998844	0.058838574	0.257685889	0.085093355	0.289092199	KIRP
EEF2	eEF2	EEF2_sym2pro_eEF2.R.C	0.014950705	0.039399506	88	-0.160312591	0.01180861	-0.123388306	0.026752518	-0.133560074	KIRP
EIF4G1	eIF4G	EIF4G1_sym2pro_eIF4G.R.C	0.004971121	0.015683537	88	0.247498608	-0.157206772	0.089680158	-0.211006202	0.036492406	KIRP
CDKN2A	p16	CDKN2A_sym2pro_p16_INK4a.R.V	0.00091783	0.00462763	88	0.21612948	0.016506706	0.23335056	0.04400054	0.26013002	KIRP
CDKN1A	p21	CDKN1A_sym2pro_p21.R.V	0.004119715	0.013365352	88	-0.2967075	0.047889955	-0.232521254	0.088972452	-0.207735048	KIRP
CDKN1B	p27	CDKN1B_sym2pro_p27_pT157.R.C	6.38E-06	0.000102066	88	0.099374173	-0.018881364	0.047650933	-0.04072885	0.058645323	KIRP
MAPK14	p38	MAPK14_sym2pro_p38_MAPK.R.V	0.009408719	0.026344413	88	-0.162601309	0.009001144	-0.150851953	-0.020277629	-0.182878938	KIRP
MAPK14	p38	MAPK14_sym2pro_p38_pT180_Y182.R.V	0.007853876	0.022847638	88	-0.27654155	0.163216378	-0.148866226	0.153741848	-0.122799702	KIRP
TP53	p53	TP53_sym2pro_p53.R.E	3.49E-07	1.17E-05	88	0.307732398	0.093295543	0.362081329	0.082037893	0.389770291	KIRP
RPS6KB1	p70S6K	RPS6KB1_sym2pro_p70S6K_pT389.R.V	0.001175052	0.005161014	88	0.147423855	0.059998934	0.205276618	0.06547125	0.212895105	KIRP
EIF4EBP1	4E.BP1	EIF4EBP1_sym2pro_4E.BP1_pT37_T46.R.V	0.011618939	0.046901121	59	-0.165704185	0.151093983	-0.102915147	0.080268587	-0.085435599	LGG
ARAF	A.Raf	ARAF_sym2pro_A.Raf.R.V	1.05E-05	0.000239107	59	0.091024331	-0.05924332	0.028266065	-0.064390511	0.02663382	LGG
ACVRL1	ACVRL1	ACVRL1_sym2pro_ACVRL1.R.C	0.005816187	0.027063073	59	0.044912197	-0.02184131	0.026577666	-0.018715803	0.026196394	LGG
PRKAA1	AMPK	PRKAA1_sym2pro_AMPK_alpha.R.C	1.05E-05	0.000239107	59	0.109712044	-0.027552682	0.108275173	-0.005112014	0.10460003	LGG
AR	AR	AR_sym2pro_AR.R.V	0.001689447	0.011455123	59	0.081699878	-0.008162624	0.078693267	-0.001671265	0.080028613	LGG
ASNS	ASNS	ASNS_sym2pro_ASNS.R.V	6.84E-06	0.000194934	59	0.175635156	-0.058243992	0.119658725	-0.049373247	0.126261909	LGG
ANXA1	Annexin.1	ANXA1_sym2pro_Annexin.1.M.E	2.49E-07	1.89E-05	59	0.396153217	-0.015044646	0.466223611	0.025203862	0.421357079	LGG
BAD	Bad	BAD_sym2pro_Bad_pS112.R.V	0.005460163	0.026752559	59	0.056832467	0.009184342	0.073526658	0.01189755	0.068730017	LGG
BAK1	Bak	BAK1_sym2pro_Bak.R.E	0.000264269	0.003031672	59	-0.057256707	0.034232732	-0.023058321	0.018589228	-0.01749832	LGG
BAX	Bax	BAX_sym2pro_Bax.R.V	0.003186079	0.017295859	59	0.104057322	0.032862046	0.147510306	0.032449332	0.136506654	LGG
BCL2L11	Bim	BCL2L11_sym2pro_Bim.R.V	0.001922448	0.012175505	59	-0.090633889	0.074985514	-0.058617753	0.040863349	-0.04977054	LGG
RAF1	C.Raf	RAF1_sym2pro_C.Raf_pS338.R.E	0.000250717	0.003031672	59	-0.082021793	0.075027883	0.000785483	0.048114606	0.002403171	LGG
MS4A1	CD20	MS4A1_sym2pro_CD20.R.C	0.011894991	0.046901121	59	-0.037471502	0.010417803	-0.020735573	0.015720195	-0.021751307	LGG
CD26	CD26	CD26_sym2pro_CD26.R.V	0.009427919	0.041337797	59	0.054731365	-0.019012218	0.05705072	-0.00612829	0.048603075	LGG
CASP3	Caspase.3	NA_sym2pro_Caspase.3.R.C	0.005514782	0.026752559	59	-0.043247371	-0.015628213	-0.051367054	-0.008224136	-0.051471507	LGG
CHEK1	Chk1	NA_sym2pro_Chk1.R.E	0.008409972	0.037597523	59	-0.052894445	0.017679929	-0.017250329	0.017942989	-0.015180625	LGG
CHEK1	Chk1	CHEK1_sym2pro_Chk1_pS296.R.V	0.003161148	0.017295859	59	0.058335002	0.001647273	0.067535445	0.005878861	0.064213862	LGG
CHEK2	Chk2	CHEK2_sym2pro_Chk2_pT68.R.E	0.001199367	0.010050517	59	-0.062092098	-0.009608301	-0.064719779	-0.000239703	-0.045057261	LGG
CCNE2	Cyclin	CCNE2_sym2pro_Cyclin_E2.R.C	0.000179073	0.002474803	59	-0.063408894	0.011771375	-0.039734755	0.02225138	-0.041157515	LGG
EGFR	EGFR	EGFR_sym2pro_EGFR.R.V	6.56E-06	0.000194934	59	0.377858581	0.099570728	0.50594855	0.097730488	0.475589069	LGG
EGFR	EGFR	EGFR_sym2pro_EGFR_pY1068.R.C	0.001627658	0.011455123	59	0.334003046	0.08900501	0.47612602	0.117762673	0.451765719	LGG
EGFR	EGFR	EGFR_sym2pro_EGFR_pY1173.R.V	0.000184525	0.002474803	59	0.190691751	-0.007278001	0.21623299	0.016615179	0.20730693	LGG
FOXO3	FOXO3a	FOXO3_sym2pro_FOXO3a.R.C	0.002561391	0.014974285	59	-0.08939203	0.061816168	-0.028113135	0.057828736	-0.031563294	LGG
GAPDH	GAPDH	GAPDH_sym2pro_GAPDH.M.C	0.000644568	0.005994321	59	0.181132584	0.022823304	0.251653209	0.064065879	0.245198463	LGG
GATA3	GATA3	GATA3_sym2pro_GATA3.M.V	0.000732656	0.006424834	59	-0.078941188	0.046556274	-0.032090914	0.046873046	-0.032068142	LGG
ERBB2	HER2	ERBB2_sym2pro_HER2.M.V	1.53E-05	0.000317327	59	0.18934168	-0.031199132	0.205451047	-0.002774556	0.186567124	LGG
ERBB2	HER2	ERBB2_sym2pro_HER2_pY1248.R.C	0.000265936	0.003031672	59	0.269026448	0.042341799	0.361984751	0.072329374	0.341355822	LGG
ERBB3	HER3	ERBB3_sym2pro_HER3_pY1289.R.C	0.01119472	0.046407205	59	-0.06755565	0.086110093	0.00330064	0.068626806	0.001071156	LGG
HSP70	HSP70	HSP70_sym2pro_HSP70.R.C	0.004114924	0.020848947	59	0.198859427	0.031273226	0.197226129	0.01542654	0.214285967	LGG
IGFBP2	IGFBP2	IGFBP2_sym2pro_IGFBP2.R.V	4.88E-07	2.22E-05	59	0.299399009	-0.050801745	0.284972701	-0.022061131	0.277337877	LGG
IRF1	IRF.1	IRF1_sym2pro_IRF.1.R.C	0.001758462	0.011455123	59	0.057778413	-0.013131809	0.065133598	-0.003775448	0.054002965	LGG
MAPK9	JNK2	MAPK9_sym2pro_JNK2.R.C	0.001685617	0.011455123	59	0.086654552	-0.011362493	0.067498298	-0.016086415	0.070568137	LGG
XRCC5	Ku80	XRCC5_sym2pro_Ku80.R.C	0.011930987	0.046901121	59	-0.105382078	-0.001739196	-0.154775345	-0.038293826	-0.143675904	LGG
STK11	LKB1	STK11_sym2pro_LKB1.M.E	0.003472894	0.017995904	59	0.065396378	-0.010597563	0.066127479	-0.001312994	0.064083384	LGG
LCK	Lck	LCK_sym2pro_Lck.R.V	2.44E-05	0.000463896	59	0.128212454	-0.023660552	0.1116572	-0.025816429	0.102396025	LGG
ERRFI1	MIG.6	ERRFI1_sym2pro_MIG.6.M.V	0.010418074	0.043987423	59	0.041409726	-0.019486175	0.023904376	-0.018568276	0.02284145	LGG
NRAS	N.Ras	NRAS_sym2pro_N.Ras.M.V	0.01028649	0.043987423	59	-0.037344886	0.000572919	-0.03913212	-0.000962972	-0.038307858	LGG
NDRG1	NDRG1	NDRG1_sym2pro_NDRG1_pT346.R.V	0.002116191	0.013040315	59	-0.156673946	0.049835558	-0.041281639	0.084013953	-0.072659993	LGG
NF2	NF2	NF2_sym2pro_NF2.R.C	0.005722643	0.027063073	59	-0.078018598	0.088555271	-0.015708014	0.072504892	-0.005513706	LGG
SERPINE1	PAI.1	SERPINE1_sym2pro_PAI.1.M.E	3.67E-07	2.09E-05	59	0.262046821	-0.030502022	0.267506713	-0.010769362	0.25127746	LGG
PARP1	PARP1	PARP1_sym2pro_PARP1.R.V	0.000657272	0.005994321	59	-0.164459545	-0.02602466	-0.247592494	-0.019279692	-0.058271932	LGG
PDCD4	PDCD4	PDCD4_sym2pro_PDCD4.R.C	0.002295487	0.013772921	59	-0.152445828	0.035409198	-0.135212124	0.016884061	-0.135561768	LGG
PRKCA	PKC.alpha	PRKCA_sym2pro_PKC.alpha_pS657.R.C	0.008239618	0.037572657	59	-0.15204283	0.074645292	-0.071854328	0.079423147	-0.072619683	LGG
RICTOR	Rictor	RICTOR_sym2pro_Rictor.R.C	6.48E-05	0.00098437	59	-0.083501297	0.026676839	-0.072542784	0.014243871	-0.069257425	LGG
SCD	SCD	SCD_sym2pro_SCD.M.V	0.000615573	0.005994321	59	-0.064553798	0.00551491	-0.067994183	0.000607874	-0.063945924	LGG
STAT5A	STAT5.alpha	STAT5A_sym2pro_STAT5.alpha.R.V	1.17E-07	1.33E-05	59	0.206425157	-0.046069359	0.187050132	-0.032755515	0.173669642	LGG
SMAD1	Smad1	SMAD1_sym2pro_Smad1.R.V	0.012867727	0.04972613	59	0.076002986	0.042201547	0.112089041	0.030553166	0.106556151	LGG
SRC..YES1..FYN..FGR	Src	SRC..YES1..FYN..FGR_sym2pro_Src_pY527.R.V	3.40E-05	0.000553215	59	-0.226672927	0.080263574	-0.126863169	0.080134853	-0.146538074	LGG
TAZ	TAZ	TAZ_sym2pro_TAZ.R.V	0.000410082	0.004249943	59	0.075606633	-0.007190783	0.079239345	-0.00120848	0.074398154	LGG
TFRC	TFRC	TFRC_sym2pro_TFRC.R.V	2.43E-08	5.54E-06	59	0.38340184	0.029705915	0.387726713	-0.000514591	0.382887249	LGG
XBP1	XBP1	XBP1_sym2pro_XBP1.G.C	0.001713097	0.011455123	59	-0.223234067	0.114705834	-0.062185295	0.140618636	-0.082615431	LGG
XRCC1	XRCC1	XRCC1_sym2pro_XRCC1.R.E	0.003355211	0.017790423	59	-0.091507302	0.017512053	-0.095669762	0.002255301	-0.024112866	LGG
YAP1	YAP	YAP1_sym2pro_YAP.R.E	0.001476023	0.011455123	59	0.079907767	0.008409126	0.092008606	0.007901769	0.087809536	LGG
ABL	c.Abl	ABL_sym2pro_c.Abl.R.V	0.001594816	0.011455123	59	0.063491348	0.008012199	0.056230951	-0.008086917	0.055404431	LGG
EIF4E	eIF4E	EIF4E_sym2pro_eIF4E.R.V	0.002763292	0.015750764	59	0.041625097	-0.032500617	0.009167185	-0.034246276	0.007378822	LGG
EIF4G1	eIF4G	EIF4G1_sym2pro_eIF4G.R.C	1.74E-06	6.62E-05	59	0.147191953	-0.0810365	0.061375972	-0.084531752	0.062660201	LGG
CDKN1B	p27	CDKN1B_sym2pro_p27.R.V	0.001234274	0.010050517	59	-0.106227113	0.113535004	0.001056395	0.109449515	0.003222402	LGG
CDKN1B	p27	CDKN1B_sym2pro_p27_pT157.R.C	0.00028769	0.003123494	59	-0.045100285	0.010382384	-0.027767462	0.016509375	-0.028590909	LGG
TP53	p53	TP53_sym2pro_p53.R.E	3.06E-05	0.000536866	59	-0.104541455	0.049777854	-0.075975232	0.033436714	-0.071104741	LGG
YWHAZ	14.3.3	YWHAZ_sym2pro_14.3.3_zeta.R.V	0.000508831	0.027858495	4	-0.159828043	0.075704669	-0.087895676	0.071263204	-0.08856484	LIHC
PGR	PR	PGR_sym2pro_PR.R.V	0.000271746	0.027858495	4	0.077019315	-0.045613311	0.053738346	-0.016773864	0.060245451	LIHC
YAP1	YAP	YAP1_sym2pro_YAP_pS127.R.E	1.14E-06	0.000248922	4	-0.198258224	0.058521381	-0.138204299	0.035113184	-0.16314504	LIHC
CTNNB1	beta.Catenin	CTNNB1_sym2pro_beta.Catenin.R.V	0.000506138	0.027858495	4	-0.224605699	-0.038824277	-0.236464631	-0.031508069	-0.256113769	LIHC
ACACA..ACACB	ACC	ACACA..ACACB_sym2pro_ACC_pS79.R.V	0.001365839	0.020942862	28	0.197369098	-0.067769045	0.146812406	-0.075588893	0.121780205	LUAD
ASNS	ASNS	ASNS_sym2pro_ASNS.R.V	0.00046357	0.009841943	28	0.279778696	-0.041887819	0.185746125	-0.077459929	0.202318766	LUAD
BAP1	Bap1.c.4	NA_sym2pro_Bap1.c.4.M.V	0.002796446	0.030872767	28	-0.131685396	0.020339109	-0.090781267	0.023356609	-0.073585718	LUAD
BID	Bid	BID_sym2pro_Bid.R.C	0.000105304	0.003632988	28	0.093226825	-0.026029297	0.049573597	-0.038084938	0.055141887	LUAD
CD274	PD.L1	NA_sym2pro_CD274.R.E	8.71E-05	0.003434163	28	0.555840789	-0.114457492	0.459566261	-0.053517998	0.373167709	LUAD
CCNB1	Cyclin	CCNB1_sym2pro_Cyclin_B1.R.V	4.57E-06	0.00077141	28	0.399953763	-0.075708032	0.278405266	-0.127004039	0.272949724	LUAD
PARK7	DJ.1	NA_sym2pro_DJ.1.R.V	0.002368393	0.029677505	28	-0.160875536	0.094630142	-0.05558148	0.054164339	-0.05431792	LUAD
CDH1	E.Cadherin	CDH1_sym2pro_E.Cadherin.R.V	0.001577597	0.022916673	28	-0.256187721	-0.004350697	-0.184907525	0.0476969	-0.208490821	LUAD
FOXM1	FoxM1	FOXM1_sym2pro_FoxM1.R.V	2.38E-05	0.001315161	28	0.196476135	-0.002328521	0.172015265	-0.025628754	0.170847382	LUAD
G6PD	G6PD	G6PD_sym2pro_G6PD.M.V	0.000672826	0.011331138	28	0.25771653	-0.012201457	0.309824159	-0.025749643	0.231966887	LUAD
GAPDH	GAPDH	GAPDH_sym2pro_GAPDH.M.C	0.002473125	0.029677505	28	0.297410788	-0.10277291	0.196938432	-0.135714687	0.161696101	LUAD
MAP2K1	MEK1	MAP2K1_sym2pro_MEK1.R.V	0.001886313	0.024791539	28	0.11510397	-0.026684197	0.0751192	-0.055886373	0.059217597	LUAD
MYH11	MYH11	MYH11_sym2pro_MYH11.R.V	0.001781064	0.024578684	28	-0.505767841	0.071985902	-0.373445349	0.119423759	-0.386344082	LUAD
PCNA	PCNA	PCNA_sym2pro_PCNA.M.C	1.89E-05	0.001305827	28	0.126096722	0.032513123	0.11460355	0.005743237	0.027252845	LUAD
CD274	PD.L1	NA_sym2pro_PD.L1.R.V	0.000203531	0.005617468	28	0.422685897	-0.135617232	0.341959033	-0.05043525	0.270255525	LUAD
PDCD4	PDCD4	PDCD4_sym2pro_PDCD4.R.C	8.38E-06	0.00077141	28	-0.340213414	0.163907737	-0.144201905	0.209705653	-0.130507761	LUAD
AKT1S1	PRAS40	AKT1S1_sym2pro_PRAS40_pT246.R.V	0.000317197	0.007295539	28	-0.070109662	0.043952347	-0.028093113	0.04653675	-0.023572912	LUAD
RAB25	Rab25	RAB25_sym2pro_Rab25.R.V	0.003051158	0.032389214	28	-0.185909614	0.063652574	-0.045013535	0.105461239	-0.080448375	LUAD
TFRC	TFRC	TFRC_sym2pro_TFRC.R.V	5.62E-06	0.00077141	28	0.40304353	-0.042293422	0.352322665	-0.081229262	0.321814269	LUAD
NKX2.1	TTF1	NKX2.1_sym2pro_TTF1.R.V	0.000252452	0.006334244	28	-0.614966653	0.066843223	-0.629210038	0.065846411	-0.549120242	LUAD
TSC2	Tuberin	TSC2_sym2pro_Tuberin_pT1462.R.V	0.004290931	0.042296319	28	-0.094417045	0.052148484	-0.068873495	0.037817954	-0.05659909	LUAD
YAP1	YAP	NA_sym2pro_YAP_pS127.R.C	7.11E-05	0.003268779	28	-0.357495101	0.210583602	-0.066963309	0.15327356	-0.07501929	LUAD
YAP1	YAP	YAP1_sym2pro_YAP_pS127.R.E	0.000697932	0.011331138	28	-0.272933047	0.021264333	-0.205332733	0.01564808	-0.045954993	LUAD
ABL	c.Abl	ABL_sym2pro_c.Abl.R.V	0.002747666	0.030872767	28	0.070456408	-0.000625903	0.083785069	0.024515966	0.094972373	LUAD
EEF2K	eEF2K	EEF2K_sym2pro_eEF2K.R.V	0.000186153	0.005617468	28	-0.176933855	0.039511839	-0.075723815	0.061851301	-0.115082554	LUAD
MTOR	mTOR	MTOR_sym2pro_mTOR_pS2448.R.C	0.000523123	0.010077158	28	-0.119882104	0.033678159	-0.093719747	0.02837547	-0.091506633	LUAD
CDKN1B	p27	CDKN1B_sym2pro_p27.R.V	0.004270652	0.042296319	28	-0.075371832	0.048377622	-0.038362038	0.057327429	-0.018044403	LUAD
RPS6KA1	p90RSK	RPS6KA1_sym2pro_p90RSK_pT359_S363.R.C	0.000547672	0.010077158	28	-0.094121037	0.01559529	-0.052616893	0.022406086	-0.07171495	LUAD
MAP2K1	MEK1	MAP2K1_sym2pro_MEK1.R.V	5.80E-05	0.009075445	3	0.298289069	-0.194877102	0.111963462	-0.204927265	0.093361804	OV
RELA	NF.kB.p65	RELA_sym2pro_NF.kB.p65_pS536.R.C	0.000402477	0.03555212	3	0.348660439	-0.213262417	0.117020842	-0.229016291	0.119644149	OV
SQSTM1	p62.LCK.ligand	NA_sym2pro_p62.LCK.ligand.M.E	6.85E-05	0.009075445	3	0.439100571	-0.198170857	0.204232602	-0.203390784	0.228288477	OV
CCNB1	Cyclin	CCNB1_sym2pro_Cyclin_B1.R.V	0.000609595	0.027309845	5	0.361619125	-0.207804079	0.267782833	-0.181570447	0.180048677	PAAD
CDH3	P.Cadherin	CDH3_sym2pro_P.Cadherin.R.C	0.000410504	0.027309845	5	0.137568511	-0.079149507	0.099960214	-0.064784549	0.072783963	PAAD
PDCD4	PDCD4	PDCD4_sym2pro_PDCD4.R.C	1.02E-05	0.002290505	5	-0.441743641	0.390862977	-0.053511444	0.372739974	-0.069003667	PAAD
SRC..LYN..FYN..LCK..YES1..HCK	Src	SRC..LYN..FYN..LCK..YES1..HCK_sym2pro_Src_pY416.R.C	0.000535574	0.027309845	5	0.320723428	-0.173676437	0.169502791	-0.136132862	0.184590567	PAAD
TFRC	TFRC	TFRC_sym2pro_TFRC.R.V	6.20E-05	0.006945126	5	0.391892366	-0.269005936	0.159649311	-0.27488672	0.117005645	PAAD
DIRAS3	DIRAS3	DIRAS3_sym2pro_DIRAS3.M.E	4.73E-05	0.010740151	1	-0.070090323	0.023981165	-0.035055038	0.032976282	-0.037114042	PRAD
NDRG1	NDRG1	NDRG1_sym2pro_NDRG1_pT346.R.V	3.40E-05	0.007443445	1	0.696168235	-0.166660987	0.479702421	-0.156823981	0.539344253	SARC
EIF4EBP1	4E.BP1	EIF4EBP1_sym2pro_4E.BP1.R.V	1.63E-06	6.16E-05	54	0.277427069	-0.024240799	0.145083691	-0.055540691	0.221886378	STAD
EIF4EBP1	4E.BP1	EIF4EBP1_sym2pro_4E.BP1_pS65.R.V	0.000656133	0.005135939	54	-0.155379581	0.119995924	0.022330251	0.120026705	-0.035352876	STAD
ACACA	ACC1	ACACA_sym2pro_ACC1.R.E	0.005411839	0.025593489	54	0.242843148	-0.051615465	0.096993688	-0.071712279	0.171130869	STAD
ACVRL1	ACVRL1	ACVRL1_sym2pro_ACVRL1.R.C	0.000496743	0.004176317	54	-0.13790728	0.101153529	-0.005832371	0.087402828	-0.050504452	STAD
PRKAA1	AMPK	PRKAA1_sym2pro_AMPK_alpha.R.C	0.002173983	0.01344803	54	-0.092304997	0.1065064	0.027119519	0.103327716	0.011022719	STAD
AR	AR	AR_sym2pro_AR.R.V	0.000113317	0.001429049	54	-0.08335558	0.033160755	-0.012338386	0.03724608	-0.0461095	STAD
ASNS	ASNS	ASNS_sym2pro_ASNS.R.V	0.000519994	0.004215664	54	0.286429998	0.010838082	0.252297828	0.0267701	0.313200098	STAD
AKT1..AKT2..AKT3	Akt	AKT1..AKT2..AKT3_sym2pro_Akt.R.V	0.008131655	0.036917713	54	-0.165795806	-0.013596056	-0.161912448	-0.024907441	-0.190703247	STAD
